worksheet_id,name_ja,a_category,b_category,a_institution,b_institution,a_determination,b_determination,agree_category,both_confirmed,a_weak_evidence,b_weak_evidence,a_evidence_url,b_evidence_url,a_quote,b_quote,review_reason,adjudicated_category,adjudicated_institution,adjudicated_determination,adjudicator_note
W032,杉本 太郎,unknown,high_school,,帝京大学可児高等学校,indeterminate,confirmed,0,0,,,,https://www.antlers.co.jp/blogs/news/58077,,岐阜ＶＡＭＯＳ－帝京大可児高－鹿島アントラーズ（2014～）,disagreement,high_school,帝京大学可児高等学校,confirmed,bの公式引用を採用
W033,相澤 貴志,high_school,high_school,新潟県立新潟江南高校,新潟県立新潟江南高等学校,confirmed,confirmed,1,1,,,https://www.frontale.co.jp/profile/2007/mem_21.html,https://www.frontale.co.jp/profile/2007/mem_21.html,新潟県立新潟江南高校(新潟県),新潟県立新潟江南高校（新潟県）→川崎フロンターレ,agreement_spot_check,high_school,新潟県立新潟江南高校,confirmed,整合確認
W034,木村 龍朗,unknown,j_club_academy,,サンフレッチェ広島F.Cユース,indeterminate,confirmed,0,0,,,,https://www.kanazawa-iju.jp/interview/voice/voice_8/index.html,,そもそも僕は高校時代からJ1のサンフレッチェ広島の下部組織に所属し、平成15年（2003年）からはトップチームでプロ選手としてプレーしました。,disagreement,j_club_academy,サンフレッチェ広島F.Cユース,confirmed,bの報道本人インタビュー記事を採用
W036,永井 謙佑,unknown,university,,福岡大学,indeterminate,confirmed,0,0,,,,https://nagoya-grampus.jp/team/top/player/2026/18-kensuke-nagai.html,,生年月日 | 1989/3/5　所属・経歴　医生ヶ丘サッカー少年団・浅川中・九州国際大付属高・福岡大・名古屋グランパス,disagreement,university,福岡大学,confirmed,bの公式引用を採用
W037,藤川 祐司,university,unknown,神奈川大学,,confirmed,indeterminate,0,0,,,https://www.yamaga-fc.com/archives/28593,,横浜マリノスプライマリー ⇒ 横浜Ｆ・マリノスＪｒユース菅田 ⇒ 横浜Ｆ・マリノスユース ⇒ 神奈川大学 ⇒ 水戸ホーリーホック ⇒ 大分トリニータ,,disagreement,university,神奈川大学,confirmed,aの公式引用を採用
W039,蒲原 達也,unknown,university,,国士舘大学,indeterminate,confirmed,0,0,,,,https://www.zelvia.co.jp/club/clubteam/315751/,,国見高校→国士舘大学→サガン鳥栖→FC琉球,disagreement,university,国士舘大学,confirmed,bの公式引用を採用
W046,内野 貴志,unknown,university,,びわこ成蹊スポーツ大学,indeterminate,confirmed,0,0,,,,https://parceiro.co.jp/info/detail/Hffp7TG2QBg2S4ZWzry131AwOHlVTHp2T1FRbkZhbHFyRU9LRG5UU3ZnRUFRQUoyenpjbEpMTi1RekE,,■所属歴 ： 京都J - マルカFC - 野洲高 - BSCロサージュ - びわこ成蹊スポーツ大 - 京都サンガF.C.,disagreement,university,びわこ成蹊スポーツ大学,confirmed,bの公式引用を採用
W060,満生充,high_school,university,大阪桐蔭高等学校,大阪産業大学,confirmed,confirmed,0,1,,,https://web.gekisaka.jp/player/?33253-8555-jp=,https://myfc.co.jp/?p=3924,経歴=京都Jrユース-大阪桐蔭高-水戸-大阪産業大-藤枝,京都パープルサンガＪｒユース→大阪桐蔭高→水戸ホーリーホック→大阪産業大,disagreement,high_school,大阪桐蔭高等学校,confirmed,aの見解を採用bの公式引用で確認 高校➡J➡大学➡Jのケース
W068,金 成勇,unknown,university,,朝鮮大学校,indeterminate,confirmed,0,0,,,,https://ksaj.gr.jp/players01,,氏名  | 金成勇  | 生年月日  | 1987年2月26日 在籍チーム  | 京都サンガFC （ 2009 ～ ） ザスパ草津 （ 2012 ～ ） Nakhon Ratchasima FC（タイ） （ 2013 ～ ） Rangdajied United FC（インド） （ 2014 ～ ） 学歴  | [初] 東京朝鮮第4初中級 [中] 東京朝鮮第4初中級 [高] 東京朝鮮高 [大] 朝鮮大学校,disagreement,university,朝鮮大学校,confirmed,bの公式引用を採用
W072,中村友亮,high_school,high_school,静岡学園高等学校,静岡学園高等学校,confirmed,confirmed,1,1,,,https://nemuri-kurashi.jp/special_talk/2133/,https://times.abema.tv/articles/-/4751786?page=1,友達から「選考会があるから受けてみよう」と誘われて「とりあえず受けるだけ受けてみよう」と思い受けたら合格しました。,静岡学園高からヴィッセル神戸に入団し、FC琉球では背番号10を背負ってプレーしていたあの中村だ。,agreement_spot_check,high_school,静岡学園高等学校,confirmed,整合確認
W079,齋藤 恭志,unknown,other,,JAPANサッカーカレッジ,indeterminate,confirmed,0,0,,,,https://www.albirex.co.jp/academy/pro/,,白根ペガサス ー アルビレックス新潟ジュニアユース ー アルビレックス新潟ユース ー JAPANサッカーカレッジ ー グランセナ新潟FC ― 盛岡ゼブラ ー グルージャ盛岡 ― グランセナ新潟FC,disagreement,other,JAPANサッカーカレッジ,confirmed,bの公式引用を採用
W081,古川 隆志,unknown,unknown,,,indeterminate,indeterminate,1,0,,,,,,,agreement_spot_check,unknown,,confirmed,整合確認
W085,岡本 剛史,unknown,j_club_academy,,愛媛FCユース,indeterminate,confirmed,0,0,,,,https://ehimefc.com/u18u15/aboutacademy.html,,岡本 剛史 | 1991 | 伊予市 | 愛媛FCジュニアユース | 愛媛FCユース | － | 愛媛FC,disagreement,j_club_academy,愛媛FCユース,confirmed,bの公式引用を採用
W088,桒田 慎一朗,unknown,j_club_academy,,サンフレッチェ広島ユース,indeterminate,confirmed,0,0,,,,https://www.soccer-king.jp/player/article/415526.html,,生年月日  1986-12-06　サンフレッチェみろくの里ＦＣ−サンフレッチェ広島ユース−サンフレッチェ広島,disagreement,unknown,,indeterminate,非公式情報
