worksheet_id,name_ja,a_category,b_category,a_institution,b_institution,a_determination,b_determination,agree_category,both_confirmed,a_weak_evidence,b_weak_evidence,a_evidence_url,b_evidence_url,a_quote,b_quote,review_reason,adjudicated_category,adjudicator_note
W001,栗山 裕貴,unknown,high_school,,ルーテル学院高等学校,indeterminate,confirmed,0,0,,www.fansaka.info=有志運営のデータベース,,https://www.fansaka.info/player/J389F0/,,矢部ジュニアSC・ルーテル学院中・ルーテル学院高・サガン鳥栖,disagreement,,
W005,北村 知隆,high_school,high_school,四日市中央工業高等学校,三重県立四日市中央工業高等学校,confirmed,confirmed,1,1,,ameblo.jp=個人ブログ,https://ameblo.jp/fciseshima-staff/entry-12417218118.html;https://soccer-db.net/index.php/player/index/13968/2002,https://ameblo.jp/fciseshima-staff/entry-12417218118.html,四中工卒業後,北村さんは四中工卒業後、横浜FC、モンテディオ山形などでプレーし、プロ通算300試合以上に出場,weak_evidence,,
W006,久場 政朋,high_school,unknown,桐光学園高等学校,不明,confirmed,indeterminate,0,0,,,https://toko-fc.org/ob/,https://jimbutsu.jitenon.jp/jimbutsu/p40188.php,久場　政朋 MF 1998年 U17日本代表,1984年11月21日生まれ、神奈川県出身のサッカー選手。,disagreement,,
W008,金守 智哉,high_school,high_school,四日市中央工業高等学校,三重県立四日市中央工業高等学校,confirmed,confirmed,1,1,,mixi.jp=SNS,https://yonchukou-football.com/obog/,https://mixi.jp/view_community.pl?id=907765,主将：金守　智哉,三重県立四日市中央工業高校 大分トリニータ 2001年-2003年10月,weak_evidence,,
W019,田中 奏一,university,university,慶應義塾大学,慶應義塾大学,confirmed,confirmed,1,1,,,https://www.fagiano-okayama.com/team/2017/players/player26/,https://naraclub.jp/archives/52511,1989年6月27日／FC東京U-15FC東京U-18慶応大,【サッカー歴】FC東京U-18 ｰ 慶応大学 ｰ ファジアーノ岡山 ｰ 鹿児島ユナイテッドFC ｰ 奈良クラブ,agreement_spot_check,,
W021,久木野 聡,high_school,high_school,日章学園高等学校,日章学園高等学校,confirmed,confirmed,1,1,,jimbutsu.jitenon.jp=出典不明のアグリゲータ,https://www.frontale.co.jp/profile/2007/mem_23.html,https://jimbutsu.jitenon.jp/jimbutsu/p947.php,1987年4月16日／宮崎県宮崎市／日章学園高校（宮崎県）,出身校  | 宮崎市立木花中学校 日章学園高等学校,weak_evidence,,
W022,多田 大介,high_school,unknown,東海大学付属第五高等学校,不明,confirmed,indeterminate,0,0,,,https://www.soccer-king.jp/player/article/416050.html,https://www.cerezo.jp/team/players/archive/2001_tada_daisuke/,1982-08-11／東海大第五高 -セレッソ大阪 -愛媛ＦＣ -セレッソ大阪 -大宮アルディージャ -セレッソ大阪 -ガイナーレ鳥取 -ＦＣ岐阜 -ガイナーレ鳥取,生年月日1982/08/11 ... 所属・経歴,disagreement,,
W026,長谷部 誠,high_school,high_school,静岡県立藤枝東高等学校,静岡県立藤枝東高等学校,confirmed,confirmed,1,1,,,https://www.city.fujieda.shizuoka.jp/soccer/soccer_player/1449565868495.html,https://www.city.fujieda.shizuoka.jp/soccer/soccer_player/1449565868495.html,1984年1月18日／静岡県立藤枝東高等学校,静岡県立藤枝東高等学校 浦和レッドダイヤモンズ VfLヴォルフスブルク,agreement_spot_check,,
W027,秦 賢二,high_school,unknown,広島県立広島皆実高等学校,不明,confirmed,indeterminate,0,0,,,https://hiroshimanchu.com/news/%E3%83%A1%E3%83%B3%E3%83%90%E3%83%BC%E7%B4%B9%E4%BB%8B%E3%82%B5%E3%83%83%E3%82%AB%E3%83%BC%E9%81%B8%E6%89%8B%E3%83%BB%E7%A7%A6%E8%B3%A2%E4%BA%8C%E3%81%95%E3%82%93/,https://data.j-league.or.jp/SFTD07/search?beginCompetitionYear=1992&endCompetitionYear=2024&selectedCompetitionFrames=2&totalAppearanceCount=100,生年月日：1981年6月27日／高校時代 広島皆実(広島皆実),秦　賢二  | Ｊ２  | 141  | 水戸  | 1981/06/27  | 第３０節  | 2002/09/11  | 水戸,disagreement,,
W028,下司 隆士,unknown,high_school,,地球環境高等学校,indeterminate,confirmed,0,0,,kids.kiddle.co=Wikipedia ミラー,,https://kids.kiddle.co/Ryuji_Shimoshi,,2001–2003  | Chikyu Kankyo High School 2004–2005  | Sagan Tosu,disagreement,,
