worksheet_id,name_ja,a_category,b_category,a_institution,b_institution,a_determination,b_determination,agree_category,both_confirmed,a_weak_evidence,b_weak_evidence,a_evidence_url,b_evidence_url,a_quote,b_quote,review_reason,adjudicated_category,adjudicated_institution,adjudicated_determination,adjudicator_note
W186,松澤 彰,j_club_academy,university,浦和レッズユース,法政大学,confirmed,confirmed,0,1,,,https://hoseifc.com/club/member/7838/,https://www.kataller.co.jp/all/press-release/matsuzawaakira_iseki2022/,名古屋FC→浦和レッズユース,生年月日 1997年9月18日（24歳） ■経歴 名古屋FC→浦和レッズユース→法政大学→カターレ富山,disagreement,,,,
W189,児玉 剛,j_club_academy,university,京都パープルサンガユース,関西大学,confirmed,confirmed,0,1,,,https://www.fctokyo.co.jp/news/details/309244/,https://www.kansai-u.ac.jp/ja/assets/pdf/about/pr/press_release/2009/No18.pdf,2003-2005 京都パープルサンガユース,関西大学商学部４年次生で、体育会サッカー部所属の児玉剛（こだま・つよし）さんが、京都サンガＦ．Ｃ．の２０１０シーズンの新加入選手として加入することが内定しました。,disagreement,,,,
W192,新井 博人,university,university,明治学院大学,明治学院大学,confirmed,confirmed,1,1,,,https://www.giravanz.jp/news/p33425.html,https://gakuyukai.meijigakuin.ac.jp/archives/8254,新井 博人 選手(明治学院大)新加入のお知らせ,体育会サッカー部の新井博人さん(社会学科4年)がプロサッカーチームのギラヴァンツ北九州に2019シーズンより加入することが決まりました。,agreement_spot_check,,,,
W311,畠中槙之輔,j_club_academy,j_club_academy,東京ヴェルディユース,東京ヴェルディユース,confirmed,confirmed,1,1,,,https://web.gekisaka.jp/player/?28192-15823-jp=,https://www.jleague.jp/player/1200623/?mode=pc,東京V Jrユース-東京Vユース-東京V-町田-東京V-横浜FM,生年月日  | 1995/8/25　前所属チーム　横浜すみれＳＣ-東京ヴェルディジュニア-東京ヴェルディＪｒユース-東京ヴェルディユース-東京ヴェルディ-ＦＣ町田ゼルビア-東京ヴェルディ-横浜Ｆ・マリノス,agreement_spot_check,,,,
W315,小泉隆斗,unknown,university,,立正大学,indeterminate,confirmed,0,0,,,,https://www.jleague.jp/player/1645928/?mode=pc,,生年月日  | 1994/9/5　前所属チーム　岬陽ＳＣ-横須賀シーガルズ-帝京第三高-立正大-東京２３ＦＣ-ブリオベッカ浦安-ガイナーレ鳥取,disagreement,,,,
W333,宮地元貴,university,university,慶應義塾大学,慶應義塾大学,confirmed,confirmed,1,1,,,https://www.soccer-king.jp/player/article/628930.html,https://nagoya-grampus.jp/team/top/player/2016/44-genki-miyachi.html,FC時の栖－桐蔭学園中学校－東京ヴェルディユース－慶應義塾大学－名古屋グランパス,生年月日 1994 / 4 / 17　所属・経歴　FC時之栖　桐蔭学園中学校　東京ヴェルディユース　慶應義塾大学,agreement_spot_check,,,,
W387,鈴木 伸貴,unknown,high_school,,埼玉県立大宮東高等学校,indeterminate,confirmed,0,0,,,,https://www.ageosc.net/ob,,原市イレブン➡上尾SC➡県立大宮東高校​➡1.FCザールブリュッケン➡SVアイントラハト・トーリア（共にドイツ）➡湘南ベルマーレ➡ガイナーレ鳥取,disagreement,,,,
W390,吉本 一謙,j_club_academy,j_club_academy,FC東京U-18,FC東京U-18,confirmed,confirmed,1,1,,,https://www.s-pulse.co.jp/top_teams/profile/2020/04,https://aboutj.jleague.jp/corporate/pressrelease/post.php?code=IMPORTRELEASE00059715&m=&q=&y=,FC東京U-18(東海大学付属望星高),ＪＡＣＰＡ東京ＦＣ－ＦＣ東京Ｕ－１５－ＦＣ東京Ｕ－１８－ＦＣ東京－ＦＣ岐阜－ＦＣ東京－ＦＣ岐阜－ＦＣ東京－水戸ホーリーホック－ＦＣ東京－アビスパ福岡－ＦＣ東京－アビスパ福岡－ＦＣ東京,agreement_spot_check,,,,
W435,石田 雅人,unknown,high_school,,奈良育英高等学校,indeterminate,confirmed,0,0,,,,https://sgrum.com/web/cfguti/sp/staff/,,石田 雅人　1983/04/17 ヘッドコーチ　CF.GUTI代表兼監督　奈良育英高校を卒業後、Jリーグ横浜FCに入団,disagreement,,,,
W511,伊藤 拓真,unknown,university,,早稲田大学,indeterminate,confirmed,0,0,,,,https://www.albirex.com.sg/news/3555/,,□ 生年月日: 1986年8月11日　□ 経歴: 前橋育英高校 → 早稲田大学 → ザスパ草津,disagreement,,,,
W539,金山 隼樹,university,university,立命館大学,立命館大学,confirmed,confirmed,1,1,,,https://web.gekisaka.jp/player/?24365-11040-jp=,https://www.fagiano-okayama.com/news/202510131313/,経歴:平田中-広島ユース-立命館大-長崎-札幌-岡山,《金山 隼樹（かなやま じゅんき）選手プロフィール》 ■生年月日 ： 1988年6月12日 ■ポジション ： GK ■身長/体重 ： 187cm/82kg ■出身地 ： 島根県 ■チーム歴 ： 平田中 - サンフレッチェ広島ユース - 立命館大 - Ｖ・ファーレン長崎 - 北海道コンサドーレ札幌 - ファジアーノ岡山,agreement_spot_check,,,,
