source_player_id,name_ja,name_en,birth_date,first_season,last_season,teams,stratum
3000,児玉 新,Arata KODAMA,1982/10/08,2003,2013,ガンバ大阪;京都パープルサンガ;清水エスパルス;セレッソ大阪;大分トリニータ,A_auto_high_conf
6789,片桐 淳至,Atsushi KATAGIRI,1983/08/01,2002,2012,名古屋グランパスエイト;FC岐阜;ヴァンフォーレ甲府,A_auto_high_conf
3146,村松 潤,Jun MURAMATSU,1982/04/10,2002,2010,清水エスパルス;ベガルタ仙台;水戸ホーリーホック;ギラヴァンツ北九州,A_auto_high_conf
5953,野田 恭平,Kyohei NODA,1981/10/06,2009,2012,FC岐阜,A_auto_high_conf
7749,岸田 裕樹,Hiroki KISHIDA,1981/06/07,2007,2011,ヴィッセル神戸;ファジアーノ岡山,A_auto_high_conf
9150,筑城 和人,Kazuto TSUYUKI,1984/08/14,2009,2013,名古屋グランパスエイト;徳島ヴォルティス;ロアッソ熊本,A_auto_high_conf
6285,犬塚 友輔,Yusuke INUZUKA,1983/12/13,2006,2012,ジュビロ磐田;ヴァンフォーレ甲府;サガン鳥栖,A_auto_high_conf
7876,吉田 麻也,Maya YOSHIDA,1988/08/24,2007,2009,名古屋グランパスエイト;名古屋グランパス,A_needs_review
6245,根占 真伍,Shingo NEJIME,1984/12/22,2003,2012,東京ヴェルディ1969;横浜FC;ロアッソ熊本,A_needs_review
3242,大和田 真史,Masashi OWADA,1981/07/28,2004,2013,水戸ホーリーホック;栃木SC,A_needs_review
6081,秦 賢二,Kenji HADA,1981/06/27,2002,2006,水戸ホーリーホック,A_unknown_label
9162,盛礼良 レオナルド（ レオナルド）,Leonardo MOREIRA,1986/02/04,2007,2012,サガン鳥栖;東京ヴェルディ;栃木SC;ギラヴァンツ北九州,A_unknown_label
4461,原 竜太,Ryuta HARA,1981/04/19,2000,2009,名古屋グランパスエイト;京都パープルサンガ;モンテディオ山形;湘南ベルマーレ,A_no_confirmed_article
8624,田中 淳,Jun TANAKA,1983/09/01,2006,2011,ザスパ草津,A_no_confirmed_article
8609,高橋 大輔,Daisuke TAKAHASHI,1983/09/18,2006,2012,大分トリニータ;セレッソ大阪,A_no_confirmed_article
6782,伊藤 仁,Shinobu ITO,1983/05/07,2003,2005,セレッソ大阪;水戸ホーリーホック,B_auto_high_conf
7709,木藤 健太,Kenta KIFUJI,1981/10/05,2006,2008,モンテディオ山形,B_auto_high_conf
8126,秋田 政輝,Masateru AKITA,1982/09/25,2005,2006,水戸ホーリーホック,B_auto_high_conf
7667,三浦 旭人,Akito MIURA,1987/08/11,2011,2012,ガイナーレ鳥取,B_auto_high_conf
2984,數馬 正浩,Masahiro KAZUMA,1982/06/22,2001,2004,横浜F・マリノス;ベガルタ仙台,B_auto_high_conf
6823,石田 雅人,Masato ISHIDA,1983/04/17,2002,2002,横浜FC,B_auto_high_conf
5990,松裏 英明,Hideaki MATSUURA,1981/06/25,2001,2001,ヴァンフォーレ甲府,B_needs_review
8107,古田 泰士,Taiji FURUTA,1982/08/04,2005,2008,徳島ヴォルティス,B_unknown_label
9677,山内 祐一,Yuichi YAMAUCHI,1984/10/26,2008,2010,ロアッソ熊本,B_unknown_label
5919,杉本 圭,Kei SUGIMOTO,1982/06/04,2000,2002,湘南ベルマーレ,B_no_confirmed_article
6811,前田 和也,Kazuya MAEDA,1984/01/08,2002,2007,FC東京;モンテディオ山形,B_no_confirmed_article
8505,中野 裕太,Yuta NAKANO,1989/08/30,2008,2012,横浜FC;ファジアーノ岡山,B_no_confirmed_article
6367,髙橋 健史,Kenji TAKAHASHI,1985/01/01,2007,2008,徳島ヴォルティス,C_auto_high_conf
11144,田中 パウロ淳一（田中 淳一）,TANAKA Paulo Junichi,1993/10/23,2012,2012,川崎フロンターレ,C_auto_high_conf
6850,千葉 真也,Shinya CHIBA,1983/05/03,2002,2002,アルビレックス新潟,C_auto_high_conf
10882,松浦 勇武,Isamu MATSUURA,1991/08/12,2011,2011,湘南ベルマーレ,C_auto_high_conf
7877,福島 新太,Shinta FUKUSHIMA,1989/01/28,2009,2010,名古屋グランパス,C_auto_high_conf
11469,三渡洲 舞人,Maito SANTOS,1992/11/28,2013,2013,東京ヴェルディ,C_auto_high_conf
7522,福本 尚純,Naoyoshi FUKUMOTO,1987/05/10,2010,2010,ファジアーノ岡山,C_needs_review
9638,吉原 正人,Masato YOSHIHARA,1991/10/27,2010,2011,アビスパ福岡,C_needs_review
9156,石原 卓,Taku ISHIHARA,1988/10/03,2008,2008,徳島ヴォルティス,C_needs_review
8133,中村 友亮,Yusuke NAKAMURA,1986/10/06,2005,2005,ヴィッセル神戸,C_needs_review
6209,山田 祥史,Yoshifumi YAMADA,1981/11/04,2002,2003,アビスパ福岡,C_unknown_label
8611,市原 大嗣,Hiroshi ICHIHARA,1987/04/24,2006,2009,大分トリニータ;サガン鳥栖,C_unknown_label
8461,松浦 敦史,Atsushi MATSUURA,1981/12/28,2005,2005,徳島ヴォルティス,C_unknown_label
9051,栗山 裕貴,Yuki KURIYAMA,1988/09/15,2008,2008,サガン鳥栖,C_unknown_label
9670,河野 健一,Kenichi KAWANO,1982/09/15,2008,2008,ロアッソ熊本,C_unknown_label
6429,田中 大輔,Daisuke TANAKA,1983/01/06,2005,2005,徳島ヴォルティス,C_no_confirmed_article
6023,高橋 宏幸,Hiroyuki TAKAHASHI,1983/05/06,2002,2002,東京ヴェルディ1969,C_no_confirmed_article
6903,中村 豪,Go NAKAMURA,1986/11/29,2007,2007,ジュビロ磐田;愛媛FC,C_no_confirmed_article
10907,加部 未蘭,Miran KABE,1992/06/17,2012,2012,ヴァンフォーレ甲府;ギラヴァンツ北九州,C_no_confirmed_article
6087,加藤 寿一,Toshikazu KATO,1981/05/28,2002,2002,アビスパ福岡,C_no_confirmed_article
10978,田中 俊一,Shunichi TANAKA,1987/09/13,2011,2012,ロアッソ熊本,C_no_confirmed_article
6414,石橋 直希,Naoki ISHIBASHI,1981/05/14,2002,2003,サガン鳥栖,X_topup
3071,籾谷 真弘,Masahiro MOMITANI,1981/06/02,2005,2006,ザスパ草津,X_topup
