source_player_id,name_ja,name_en,birth_date,first_observed_season,last_observed_season,stratum
9467,都並 優太,TSUNAMI Yuta,1992/01/20,2014,2025,A_auto_high_conf
15765,鎌田 大地,Daichi KAMADA,1996/08/05,2015,2017,A_auto_high_conf
23539,守田 英正,Hidemasa MORITA,1995/05/10,2017,2020,A_auto_high_conf
29555,上島 拓巳,KAMIJIMA Takumi,1997/02/05,2018,2025,A_auto_high_conf
9439,古林 将太,Shota KOBAYASHI,1991/05/11,2014,2023,A_auto_high_conf
15801,川﨑 裕大,Yasumasa KAWASAKI,1992/08/20,2017,2022,A_auto_high_conf
11423,長澤 和輝,Kazuki NAGASAWA,1991/12/16,2016,2024,A_reviewed
8775,仙石 廉,Ren SENGOKU,1990/10/02,2014,2018,A_reviewed
9979,堀米 勇輝,HORIGOME Yuki,1992/12/13,2014,2025,A_reviewed
11177,木下 高彰,Takaaki KINOSHITA,1993/06/11,2014,2019,A_unknown_label
19165,富澤 雅也,TOMIZAWA Masaya,1993/07/14,2017,2025,A_unknown_label
9450,鈴木 大輔,SUZUKI Daisuke,1990/01/29,2014,2025,A_no_confirmed_article
29535,小野 雅史,ONO Masahito,1996/08/09,2019,2025,A_no_confirmed_article
12112,奥川 雅也,OKUGAWA Masaya,1996/04/14,2014,2025,B_auto_high_conf
9396,三田 尚央,Hisao MITA,1991/05/20,2014,2014,B_auto_high_conf
23162,岩田 拓也,Takuya IWATA,1994/07/14,2017,2019,B_auto_high_conf
45066,東山 達稀,Tatsuki HIGASHIYAMA,1999/06/03,2022,2024,B_auto_high_conf
12125,邦本 宜裕,Takahiro KUNIMOTO,1997/10/08,2015,2017,B_auto_high_conf
31524,吉井 佑将,Yusuke YOSHII,1995/06/22,2022,2023,B_auto_high_conf
15846,堂安 律,Ritsu DOAN,1998/06/16,2015,2017,B_reviewed
45106,落合 陸,OCHIAI Riku,1999/05/23,2023,2025,B_reviewed
10852,森 泰次郎,Taijiro MORI,1991/12/08,2014,2015,B_reviewed
23150,登崎 雅貴,Masaki TOZAKI,1994/08/27,2017,2017,B_unknown_label
11872,北原 毅之,Takahisa KITAHARA,1990/10/18,2014,2016,B_unknown_label
11940,松本 大輝,Daiki MATSUMOTO,1991/05/29,2014,2016,B_no_confirmed_article
19432,梅津 克貴,Katsuki UMEZU,1999/04/03,2016,2017,B_no_confirmed_article
23144,中島 宏海,Hiromi NAKASHIMA,1993/08/08,2017,2018,B_no_confirmed_article
23182,岩壁 裕也,Hiroya IWAKABE,1994/05/17,2017,2017,C_auto_high_conf
12010,小野寺 建人,Kento ONODERA,1991/07/06,2014,2014,C_auto_high_conf
32373,安東 大介,Daisuke ANDO,1991/07/18,2019,2019,C_auto_high_conf
54726,西袋 裕太,SAITAI Yuta,1994/09/06,2024,2025,C_auto_high_conf
18980,加倉井 拓弥,Takuya KAKURAI,1997/09/25,2015,2015,C_auto_high_conf
44932,小林 陸玖,Riku KOBAYASHI,1999/09/30,2022,2022,C_auto_high_conf
11361,山之内 優貴,Yuki YAMANOUCHI,1994/09/18,2014,2016,C_reviewed
19184,山川 デション諒,Desheun Ryo YAMAKAWA,1997/04/21,2016,2017,C_reviewed
29318,伊藤 遼哉,Ryoya ITO,1998/05/02,2018,2019,C_reviewed
9194,松田 悠佑,Yusuke MATSUDA,1991/04/23,2014,2015,C_unknown_label
11029,阿波加 俊太,Shunta AWAKA,1995/02/07,2014,2024,C_unknown_label
45084,上笹貫 剣,Mamoru KAMISASANUKI,1999/05/04,2022,2024,C_unknown_label
23214,森 俊介,Shunsuke MORI,1994/10/04,2017,2023,C_unknown_label
11324,永坂 勇人,Yuto NAGASAKA,1994/05/22,2014,2018,C_unknown_label
23121,小野 敬輔,Keisuke ONO,1998/07/30,2017,2017,C_no_confirmed_article
11332,木部 未嵐,Miran KIBE,1994/06/18,2014,2014,C_no_confirmed_article
23323,松岡 昂哉,Koya MATSUOKA,1999/11/10,2017,2017,C_no_confirmed_article
23544,本庄 竜大,Ryuta HONJO,1999/05/11,2017,2019,C_no_confirmed_article
12118,中井 英人,Eito NAKAI,1996/05/09,2014,2014,C_no_confirmed_article
23287,中島 大雅,Taiga NAKAJIMA,1999/08/01,2017,2017,C_no_confirmed_article
12148,金井 亮太,Ryota KANAI,1998/05/09,2014,2014,C_no_confirmed_article
23318,和田 健太郎,Kentaro WADA,1996/06/28,2017,2017,C_no_confirmed_article
23135,西嶋 有矢,Yuya NISHIJIMA,1995/02/21,2017,2017,C_no_confirmed_article
