source_player_id,name_ja,birth_year,sample_kind
44955,神山 京右,2000,flip_promo
9871,駒井 善成,1992,fresh_era2
6627,川原 達也,1985,fresh_era1
11970,真栄城 兼哉,1995,flip_univ_hs
6908,藤井 貴,1986,flip_other
54743,伊川 拓,1997,fresh_era2
32405,猪瀬 康介,2000,flip_univ_hs
2270,本間 幸司,1977,flip_univ_hs
8129,鈴木 孝明,1981,fresh_era1
12101,仲村 京雅,1996,flip_promo
10500,南 秀仁,1993,flip_promo
23215,河田 篤秀,1992,fresh_era2
29317,坂 圭祐,1995,fresh_era2
7090,前田 俊介,1986,flip_promo
19281,原田 岳,1998,flip_promo
6077,上野 秀章,1981,fresh_era1
29284,大原 彰輝,1999,flip_promo
38014,鬼島 和希,1998,flip_promo
7289,北村 隆二,1981,fresh_era1
45061,鈴木 章斗,2003,flip_univ_hs
19537,山田 康太,1999,flip_promo
9401,矢田 旭,1991,flip_promo
29339,田中 陸,1999,flip_other
5928,山田 正道,1981,fresh_era1
37788,橋本 健人,1999,flip_promo
6055,西 洋祐,1983,fresh_era1
37887,西田 勇祐,2003,flip_promo
44631,内藤 大和,2004,flip_other
23168,猿田 遥己,1999,flip_promo
11482,宮市 剛,1995,flip_univ_hs
10333,井畑 翔太郎,1987,fresh_era1
9218,可児 壮隆,1991,fresh_era2
11150,白崎 凌兵,1993,flip_univ_hs
6952,久場 政朋,1984,fresh_era1
23190,安部 裕葵,1999,fresh_era2
7346,宇佐美 宏和,1987,flip_promo
10801,田尻 健,1993,flip_promo
10324,菅野 将太,1984,fresh_era1
37922,相田 勇樹,1998,fresh_era2
6350,笹垣 亮介,1985,fresh_era1
12067,碓井 鉄平,1991,fresh_era2
6825,相川 進也,1983,fresh_era1
10134,平松 宗,1992,fresh_era2
12155,神谷 駿文,1991,fresh_era2
7311,石井 謙伍,1986,flip_promo
44308,宮市 亮,1992,flip_univ_hs
6788,金澤 慎,1983,flip_other
12128,茂木 駿佑,1996,flip_promo
31517,宮田 和純,2001,flip_promo
37971,山田 奈央,2002,flip_other
6791,大谷 昌司,1983,fresh_era1
23125,曽根田 穣,1994,fresh_era2
15950,荻野 広大,1997,flip_other
23494,鈴木 冬一,2000,flip_univ_hs
23251,立田 悠悟,1998,flip_promo
15942,青木 翼,1993,fresh_era2
