canonical_name,aliases,j_entry_year,note
鹿島アントラーズ,鹿島,1993,
浦和レッズ,浦和|浦和レッドダイヤモンズ,1993,
ジェフユナイテッド千葉,ジェフユナイテッド市原|ジェフユナイテッド市原・千葉|千葉|ジェフ市原|ジェフ千葉,1993,市原→千葉へ改称
柏レイソル,柏,1995,
FC東京,Ｆ東京|Ｆ東23,,U-23チームを含む
東京ヴェルディ,東京ヴェルディ1969|ヴェルディ川崎|東京Ｖ|ヴェルディ|読売日本SC,1993,読売日本SCは前身
川崎フロンターレ,川崎Ｆ,,
横浜F・マリノス,横浜FM|横浜フリューゲルス,1993,フリューゲルスは1999年に合併
横浜FC,,,
Y.S.C.C.横浜,YS横浜|横浜スポーツ&カルチャークラブ,,2014年J3参入
湘南ベルマーレ,ベルマーレ平塚|湘南,1994,
清水エスパルス,清水,1993,
ジュビロ磐田,磐田,1994,
名古屋グランパス,名古屋グランパスエイト|名古屋,1993,
京都サンガF.C.,京都パープルサンガ|京都,1996,
ガンバ大阪,Ｇ大阪|Ｇ大23,1993,U-23チームを含む
セレッソ大阪,Ｃ大阪|Ｃ大23,1995,U-23チームを含む
ヴィッセル神戸,神戸,1997,
サンフレッチェ広島,広島,1993,
アビスパ福岡,福岡,1996,
サガン鳥栖,鳥栖,,
大分トリニータ,大分,,
北海道コンサドーレ札幌,コンサドーレ札幌|札幌,1998,
ベガルタ仙台,仙台,,
モンテディオ山形,山形,,
水戸ホーリーホック,水戸,,
大宮アルディージャ,大宮|RB大宮アルディージャ,,
アルビレックス新潟,新潟,,
ヴァンフォーレ甲府,甲府,1999,
ザスパクサツ群馬,ザスパ草津|群馬|ザスパ群馬,,
徳島ヴォルティス,徳島,,
愛媛FC,愛媛,,
V・ファーレン長崎,長崎,,
ロアッソ熊本,熊本|ロッソ熊本,,
ギラヴァンツ北九州,北九州,,
カターレ富山,富山,,
ガイナーレ鳥取,鳥取,,
ファジアーノ岡山,岡山,,
栃木SC,栃木,,
栃木シティ,栃木Ｃ,,栃木SCとは別クラブ
FC岐阜,岐阜,,
松本山雅FC,松本,,
FC町田ゼルビア,町田,,
FC大阪,,,
藤枝MYFC,藤枝,,
ツエーゲン金沢,金沢,,
カマタマーレ讃岐,讃岐,,
レノファ山口FC,山口,,
鹿児島ユナイテッドFC,鹿児島,,
ブラウブリッツ秋田,秋田,,
いわてグルージャ盛岡,盛岡|岩手|グルージャ盛岡,,
福島ユナイテッドFC,福島,,
ヴァンラーレ八戸,八戸,,
AC長野パルセイロ,長野,,
SC相模原,相模原,,
アスルクラロ沼津,沼津,,
テゲバジャーロ宮崎,宮崎,,
FC琉球,琉球,,
奈良クラブ,奈良,,2023年J3参入
いわきFC,いわき,,2022年J3参入
FC今治,今治,,
高知ユナイテッドSC,高知,,
