source_player_id,name_ja,name_en,previous_observed_season,reappearance_season,absent_seasons,reappearance_leagues,reappearance_teams,reappearance_minutes,wikidata_person_ids,wikidata_foreign_teams,wikidata_foreign_teams_in_gap,wikidata_birth_dates,audit_status,manual_review_reason,wikipedia_titles,wikipedia_urls,wikipedia_search_error,manual_decision,manual_note,evidence_url
9571,原口 元気,Genki HARAGUCHI,2014,2024,9,Ｊ１リーグ,浦和,461,Q982163,1.FCウニオン・ベルリン (ドイツ)|KFCOベールスホット・ヴィルレイク (ベルギー)|VfBシュトゥットガルト (ドイツ)|ハノーファー96 (ドイツ)|フォルトゥナ・デュッセルドルフ (ドイツ)|ヘルタ・ベルリン (ドイツ),1.FCウニオン・ベルリン (ドイツ)|VfBシュトゥットガルト (ドイツ)|ハノーファー96 (ドイツ)|フォルトゥナ・デュッセルドルフ (ドイツ)|ヘルタ・ベルリン (ドイツ),1991-05-09,candidate_foreign_stint,foreign_hint_needs_verification,原口元気|ミッドフィールダー|サッカー日本代表|元気|原口文仁,https://ja.wikipedia.org/wiki/%E5%8E%9F%E5%8F%A3%E5%85%83%E6%B0%97|https://ja.wikipedia.org/wiki/%E3%83%9F%E3%83%83%E3%83%89%E3%83%95%E3%82%A3%E3%83%BC%E3%83%AB%E3%83%80%E3%83%BC|https://ja.wikipedia.org/wiki/%E3%82%B5%E3%83%83%E3%82%AB%E3%83%BC%E6%97%A5%E6%9C%AC%E4%BB%A3%E8%A1%A8|https://ja.wikipedia.org/wiki/%E5%85%83%E6%B0%97|https://ja.wikipedia.org/wiki/%E5%8E%9F%E5%8F%A3%E6%96%87%E4%BB%81,,confirmed_foreign_stint,"Wikipedia career chronology lists continuous German club stints (Hertha BSC, Fortuna Duesseldorf, Hannover 96, Union Berlin, VfB Stuttgart) covering the 2015-2023 gap.",https://ja.wikipedia.org/wiki/%E5%8E%9F%E5%8F%A3%E5%85%83%E6%B0%97
12112,奥川 雅也,OKUGAWA Masaya,2015,2025,9,Ｊ１リーグ,京都,1282,Q18700901,FCリーフェリング (オーストリア),FCリーフェリング (オーストリア),1996-04-14,candidate_foreign_stint,foreign_hint_needs_verification,奥川雅也|ホルシュタイン・キール|立命館宇治中学校・高等学校|メルギム・ベリシャ,https://ja.wikipedia.org/wiki/%E5%A5%A5%E5%B7%9D%E9%9B%85%E4%B9%9F|https://ja.wikipedia.org/wiki/%E3%83%9B%E3%83%AB%E3%82%B7%E3%83%A5%E3%82%BF%E3%82%A4%E3%83%B3%E3%83%BB%E3%82%AD%E3%83%BC%E3%83%AB|https://ja.wikipedia.org/wiki/%E7%AB%8B%E5%91%BD%E9%A4%A8%E5%AE%87%E6%B2%BB%E4%B8%AD%E5%AD%A6%E6%A0%A1%E3%83%BB%E9%AB%98%E7%AD%89%E5%AD%A6%E6%A0%A1|https://ja.wikipedia.org/wiki/%E3%83%A1%E3%83%AB%E3%82%AE%E3%83%A0%E3%83%BB%E3%83%99%E3%83%AA%E3%82%B7%E3%83%A3,,confirmed_foreign_stint,Wikipedia career chronology lists Salzburg/Liefering/Mattersburg (Austria) and Kiel/Bielefeld/Augsburg (Germany) covering the 2016-2024 gap.,https://ja.wikipedia.org/wiki/%E5%A5%A5%E5%B7%9D%E9%9B%85%E4%B9%9F
11000,柴崎 岳,SHIBASAKI Gaku,2016,2023,6,Ｊ１リーグ,鹿島,102,Q2011456,CDテネリフェ (スペイン)|CDレガネス (スペイン)|デポルティーボ・ラ・コルーニャ (スペイン)|ヘタフェCF (スペイン),CDテネリフェ (スペイン)|CDレガネス (スペイン)|デポルティーボ・ラ・コルーニャ (スペイン)|ヘタフェCF (スペイン),1992-05-28,candidate_foreign_stint,foreign_hint_needs_verification,柴崎岳|1992年|青森山田中学高等学校|真野恵里菜|濱田岳,https://ja.wikipedia.org/wiki/%E6%9F%B4%E5%B4%8E%E5%B2%B3|https://ja.wikipedia.org/wiki/1992%E5%B9%B4|https://ja.wikipedia.org/wiki/%E9%9D%92%E6%A3%AE%E5%B1%B1%E7%94%B0%E4%B8%AD%E5%AD%A6%E9%AB%98%E7%AD%89%E5%AD%A6%E6%A0%A1|https://ja.wikipedia.org/wiki/%E7%9C%9F%E9%87%8E%E6%81%B5%E9%87%8C%E8%8F%9C|https://ja.wikipedia.org/wiki/%E6%BF%B1%E7%94%B0%E5%B2%B3,,confirmed_foreign_stint,"Wikipedia career chronology lists Tenerife, Getafe, Deportivo La Coruna, and Leganes (Spain) covering the 2017-2022 gap.",https://ja.wikipedia.org/wiki/%E6%9F%B4%E5%B4%8E%E5%B2%B3
15921,伊藤 剛,ITO Go,2017,2024,6,Ｊ３リーグ,北九州,588,Q11379902|Q11379904|Q21286386|Q59868486,,,1976-12-17|1994-03-23,needs_manual_review,multiple_wikidata_person_matches,草彅剛|日本のサッカー選手一覧|伊藤剛 (サッカー選手)|伊藤剛|伊藤剛 (野球),https://ja.wikipedia.org/wiki/%E8%8D%89%E5%BD%85%E5%89%9B|https://ja.wikipedia.org/wiki/%E6%97%A5%E6%9C%AC%E3%81%AE%E3%82%B5%E3%83%83%E3%82%AB%E3%83%BC%E9%81%B8%E6%89%8B%E4%B8%80%E8%A6%A7|https://ja.wikipedia.org/wiki/%E4%BC%8A%E8%97%A4%E5%89%9B_%28%E3%82%B5%E3%83%83%E3%82%AB%E3%83%BC%E9%81%B8%E6%89%8B%29|https://ja.wikipedia.org/wiki/%E4%BC%8A%E8%97%A4%E5%89%9B|https://ja.wikipedia.org/wiki/%E4%BC%8A%E8%97%A4%E5%89%9B_%28%E9%87%8E%E7%90%83%29,,,,
11193,中島 翔哉,NAKAJIMA Shoya,2017,2023,5,Ｊ１リーグ,浦和,158,Q7503330,FCポルト (ポルトガル)|アル・アインFC (アラブ首長国連邦)|アル・ドゥハイルSC (カタール)|アンタルヤスポル (トルコ)|ポルティモネンセSC (ポルトガル),FCポルト (ポルトガル)|アル・アインFC (アラブ首長国連邦)|アル・ドゥハイルSC (カタール)|アンタルヤスポル (トルコ)|ポルティモネンセSC (ポルトガル),1994-08-23,candidate_foreign_stint,foreign_hint_needs_verification,中島翔哉|1994年|ロブソン・ポンテ|ポルティモネンセSC|フレデリック (バンド),https://ja.wikipedia.org/wiki/%E4%B8%AD%E5%B3%B6%E7%BF%94%E5%93%89|https://ja.wikipedia.org/wiki/1994%E5%B9%B4|https://ja.wikipedia.org/wiki/%E3%83%AD%E3%83%96%E3%82%BD%E3%83%B3%E3%83%BB%E3%83%9D%E3%83%B3%E3%83%86|https://ja.wikipedia.org/wiki/%E3%83%9D%E3%83%AB%E3%83%86%E3%82%A3%E3%83%A2%E3%83%8D%E3%83%B3%E3%82%BBSC|https://ja.wikipedia.org/wiki/%E3%83%95%E3%83%AC%E3%83%87%E3%83%AA%E3%83%83%E3%82%AF_%28%E3%83%90%E3%83%B3%E3%83%89%29,,confirmed_foreign_stint,"Wikipedia career chronology lists Portimonense, Al-Duhail, FC Porto, and Al Ain during the 2018-2022 gap.",https://ja.wikipedia.org/wiki/%E4%B8%AD%E5%B3%B6%E7%BF%94%E5%93%89
11463,中山 雄太,NAKAYAMA Yuta,2018,2024,5,Ｊ１リーグ,町田,332,Q18817905,PECズヴォレ (オランダ)|ハダースフィールド・タウンFC (イギリス),PECズヴォレ (オランダ)|ハダースフィールド・タウンFC (イギリス),1997-02-16,candidate_foreign_stint,foreign_hint_needs_verification,中山雄太|U-20サッカー日本代表|豊川雄太|粕谷雄太|脇本雄太,https://ja.wikipedia.org/wiki/%E4%B8%AD%E5%B1%B1%E9%9B%84%E5%A4%AA|https://ja.wikipedia.org/wiki/U-20%E3%82%B5%E3%83%83%E3%82%AB%E3%83%BC%E6%97%A5%E6%9C%AC%E4%BB%A3%E8%A1%A8|https://ja.wikipedia.org/wiki/%E8%B1%8A%E5%B7%9D%E9%9B%84%E5%A4%AA|https://ja.wikipedia.org/wiki/%E7%B2%95%E8%B0%B7%E9%9B%84%E5%A4%AA|https://ja.wikipedia.org/wiki/%E8%84%87%E6%9C%AC%E9%9B%84%E5%A4%AA,,confirmed_foreign_stint,Wikipedia career chronology lists PEC Zwolle (2019-2022) and Huddersfield Town (2022-2024) covering the 2019-2023 gap.,https://ja.wikipedia.org/wiki/%E4%B8%AD%E5%B1%B1%E9%9B%84%E5%A4%AA
11875,石田 雅俊,Masatoshi ISHIDA,2018,2024,5,Ｊ１リーグ,磐田,84,Q16264054|Q44033561|Q51730147|Q6782738,,,1952-04-11|1995-05-04,needs_manual_review,multiple_wikidata_person_matches,石田雅俊|5月4日|南波雅俊|中村雅俊|石田ひかり,https://ja.wikipedia.org/wiki/%E7%9F%B3%E7%94%B0%E9%9B%85%E4%BF%8A|https://ja.wikipedia.org/wiki/5%E6%9C%884%E6%97%A5|https://ja.wikipedia.org/wiki/%E5%8D%97%E6%B3%A2%E9%9B%85%E4%BF%8A|https://ja.wikipedia.org/wiki/%E4%B8%AD%E6%9D%91%E9%9B%85%E4%BF%8A|https://ja.wikipedia.org/wiki/%E7%9F%B3%E7%94%B0%E3%81%B2%E3%81%8B%E3%82%8A,,,,
10923,シュミット ダニエル,SCHMIDT Daniel,2019,2025,5,Ｊ１リーグ,名古屋,630,,,,,needs_manual_review,no_wikidata_person_match|katakana_name,シュミット・ダニエル|1992年|1990年|ダニエル・シュミット|バスケットボール選手一覧,https://ja.wikipedia.org/wiki/%E3%82%B7%E3%83%A5%E3%83%9F%E3%83%83%E3%83%88%E3%83%BB%E3%83%80%E3%83%8B%E3%82%A8%E3%83%AB|https://ja.wikipedia.org/wiki/1992%E5%B9%B4|https://ja.wikipedia.org/wiki/1990%E5%B9%B4|https://ja.wikipedia.org/wiki/%E3%83%80%E3%83%8B%E3%82%A8%E3%83%AB%E3%83%BB%E3%82%B7%E3%83%A5%E3%83%9F%E3%83%83%E3%83%88|https://ja.wikipedia.org/wiki/%E3%83%90%E3%82%B9%E3%82%B1%E3%83%83%E3%83%88%E3%83%9C%E3%83%BC%E3%83%AB%E9%81%B8%E6%89%8B%E4%B8%80%E8%A6%A7,,,,
23190,安部 裕葵,ABE Hiroki,2019,2025,5,Ｊ１リーグ,浦和,25,Q27917453,FCバルセロナB (スペイン),FCバルセロナB (スペイン),1999-01-28,candidate_foreign_stint,foreign_hint_needs_verification,安部裕葵|1月28日|広島県瀬戸内高等学校|FCバルセロナ・アトレティック|コンラッド・デ・ラ・フエンテ,https://ja.wikipedia.org/wiki/%E5%AE%89%E9%83%A8%E8%A3%95%E8%91%B5|https://ja.wikipedia.org/wiki/1%E6%9C%8828%E6%97%A5|https://ja.wikipedia.org/wiki/%E5%BA%83%E5%B3%B6%E7%9C%8C%E7%80%AC%E6%88%B8%E5%86%85%E9%AB%98%E7%AD%89%E5%AD%A6%E6%A0%A1|https://ja.wikipedia.org/wiki/FC%E3%83%90%E3%83%AB%E3%82%BB%E3%83%AD%E3%83%8A%E3%83%BB%E3%82%A2%E3%83%88%E3%83%AC%E3%83%86%E3%82%A3%E3%83%83%E3%82%AF|https://ja.wikipedia.org/wiki/%E3%82%B3%E3%83%B3%E3%83%A9%E3%83%83%E3%83%89%E3%83%BB%E3%83%87%E3%83%BB%E3%83%A9%E3%83%BB%E3%83%95%E3%82%A8%E3%83%B3%E3%83%86,,confirmed_foreign_stint,Wikipedia career chronology lists FC Barcelona B (2019-2023) during the 2020-2024 gap; returned to Urawa in 2023 without observed J.League minutes until 2025.,https://ja.wikipedia.org/wiki/%E5%AE%89%E9%83%A8%E8%A3%95%E8%91%B5
31518,久保 征一郎,KUBO Seiichiro,2018,2023,4,Ｊ２リーグ,水戸,7,Q58234294|Q65248334,,,1945-01-01|2001-06-22,needs_manual_review,multiple_wikidata_person_matches,水戸ホーリーホックの選手一覧|久保征一郎|日本のサッカー選手一覧|久保康生|セガツーリングカーチャンピオンシップ,https://ja.wikipedia.org/wiki/%E6%B0%B4%E6%88%B8%E3%83%9B%E3%83%BC%E3%83%AA%E3%83%BC%E3%83%9B%E3%83%83%E3%82%AF%E3%81%AE%E9%81%B8%E6%89%8B%E4%B8%80%E8%A6%A7|https://ja.wikipedia.org/wiki/%E4%B9%85%E4%BF%9D%E5%BE%81%E4%B8%80%E9%83%8E|https://ja.wikipedia.org/wiki/%E6%97%A5%E6%9C%AC%E3%81%AE%E3%82%B5%E3%83%83%E3%82%AB%E3%83%BC%E9%81%B8%E6%89%8B%E4%B8%80%E8%A6%A7|https://ja.wikipedia.org/wiki/%E4%B9%85%E4%BF%9D%E5%BA%B7%E7%94%9F|https://ja.wikipedia.org/wiki/%E3%82%BB%E3%82%AC%E3%83%84%E3%83%BC%E3%83%AA%E3%83%B3%E3%82%B0%E3%82%AB%E3%83%BC%E3%83%81%E3%83%A3%E3%83%B3%E3%83%94%E3%82%AA%E3%83%B3%E3%82%B7%E3%83%83%E3%83%97,,,,
