season,league,team_name,name_ja,source_player_id,note
2014,Ｊ１リーグ,新潟,田中 達也,6452,SFIX04 season/team history: https://data.j-league.or.jp/SFIX04/index?player_id=6452
2014,Ｊ１リーグ,Ｆ東京,松田 陸,11446,SFIX04 season/team history: https://data.j-league.or.jp/SFIX04/index?player_id=11446
2014,Ｊ２リーグ,北九州,新井 純平,11359,SFIX04 season/team history: https://data.j-league.or.jp/SFIX04/index?player_id=11359
2014,Ｊ２リーグ,富山,吉川 健太,10359,SFIX04 season/team history: https://data.j-league.or.jp/SFIX04/index?player_id=10359
2014,Ｊ２リーグ,水戸,田中 雄大,10942,SFIX04 season/team history: https://data.j-league.or.jp/SFIX04/index?player_id=10942
2014,Ｊ２リーグ,福岡,山口 和樹,10391,SFIX04 season/team history: https://data.j-league.or.jp/SFIX04/index?player_id=10391
2014,Ｊ３リーグ,盛岡,小林 亮太,9077,SFIX04 season/team history: https://data.j-league.or.jp/SFIX04/index?player_id=9077
2014,Ｊ３リーグ,福島,内山 俊彦,11948,SFIX04 season/team history: https://data.j-league.or.jp/SFIX04/index?player_id=11948
2014,Ｊ３リーグ,福島,安東 輝,11991,SFIX04 season/team history: https://data.j-league.or.jp/SFIX04/index?player_id=11991
2015,Ｊ１リーグ,FC東京,松田 陸,11446,SFIX04 season/team history: https://data.j-league.or.jp/SFIX04/index?player_id=11446
2015,Ｊ１リーグ,新潟,田中 達也,6452,SFIX04 season/team history: https://data.j-league.or.jp/SFIX04/index?player_id=6452
2015,Ｊ２リーグ,北九州,新井 純平,11359,SFIX04 season/team history: https://data.j-league.or.jp/SFIX04/index?player_id=11359
2015,Ｊ２リーグ,水戸,田中 雄大,10942,SFIX04 season/team history: https://data.j-league.or.jp/SFIX04/index?player_id=10942
2015,Ｊ２リーグ,熊本,田中 達也,11075,SFIX04 season/team history: https://data.j-league.or.jp/SFIX04/index?player_id=11075
2015,Ｊ３リーグ,富山,山本 祥輝,11320,SFIX04 season/team history: https://data.j-league.or.jp/SFIX04/index?player_id=11320
2015,Ｊ３リーグ,盛岡,小林 亮太,9077,SFIX04 season/team history: https://data.j-league.or.jp/SFIX04/index?player_id=9077
2015,Ｊ３リーグ,福島,安東 輝,11991,SFIX04 season/team history: https://data.j-league.or.jp/SFIX04/index?player_id=11991
2016,Ｊ１リーグ,新潟,田中 達也,6452,SFIX04 season/team history: https://data.j-league.or.jp/SFIX04/index?player_id=6452
2016,Ｊ１リーグ,磐田,志村 滉,15763,SFIX04 season/team history: https://data.j-league.or.jp/SFIX04/index?player_id=15763
2016,Ｊ１リーグ,神戸,田中 雄大,10942,SFIX04 season/team history: https://data.j-league.or.jp/SFIX04/index?player_id=10942
2016,Ｊ２リーグ,北九州,新井 純平,11359,SFIX04 season/team history: https://data.j-league.or.jp/SFIX04/index?player_id=11359
2016,Ｊ２リーグ,岐阜,田中 達也,11075,SFIX04 season/team history: https://data.j-league.or.jp/SFIX04/index?player_id=11075
2016,Ｊ２リーグ,群馬,中村 駿,19233,SFIX04 season/team history: https://data.j-league.or.jp/SFIX04/index?player_id=19233
2016,Ｊ２リーグ,金沢,安東 輝,11991,SFIX04 season/team history: https://data.j-league.or.jp/SFIX04/index?player_id=11991
2016,Ｊ２リーグ,長崎,田上 大地,15947,SFIX04 season/team history: https://data.j-league.or.jp/SFIX04/index?player_id=15947
2016,Ｊ２リーグ,Ｃ大阪,松田 陸,11446,SFIX04 season/team history: https://data.j-league.or.jp/SFIX04/index?player_id=11446
2016,Ｊ３リーグ,盛岡,小林 亮太,9077,SFIX04 season/team history: https://data.j-league.or.jp/SFIX04/index?player_id=9077
2016,Ｊ３リーグ,盛岡,鈴木 達也,10484,SFIX04 season/team history: https://data.j-league.or.jp/SFIX04/index?player_id=10484
