source_player_id,name_ja,name_en,tier,wikipedia_title,any_national_team_selection,national_team_categories,national_team_reason,wikipedia_national_team_context,reviewed_any_national_team_selection,reviewed_categories,reviewer_note
3242,大和田 真史,Masashi OWADA,pre2014_p1,大和田真史,no,,negation_or_candidate_language_present,"大和田 真史（おおわだ まさし、1981年7月28日 - ）は、茨城県出身の元サッカー選手、サッカー指導者。現役選手時のポジションはDF。


== 来歴 ==


=== プロ入り前 ===
1997年、鹿島アントラーズのジュニアユースからユースに昇格し、同時に茨城県立神栖高等学校に入学。ユースの同期生に、根本裕一、野沢拓也がいる。ユース時代に世代別代表候補に選出され、1999年シーズンは野沢とともにトップチームに2種登録された。
2000年、明治大学に進学し、サッカー部に入団。主将をつとめ、関東リーグ2部ベストイレブンに選出された。


=== プロ入り後 ===
2004年に水戸ホーリーホックの練習に参加し、夏から選手登録される。2005年には正式に水戸ホーリーホックに入団し、レギュラーを獲得した。2009年シーズンからは、移籍した平松大志に代わり主将をつとめた。
2011年シーズンより栃木SCへ移籍。2012年より副キャプテンに任命される。2013年シーズン終了をもって栃木SCとの契約が満了となった。
2014年1月14日、現役引退を発表。


=== 指導者時代 ===
2014年4月、東京国際大学体育会サッカー部コーチに就任した。
2017年、モンテディオ山形コーチに就任した。
2022年、ジェフユナイテッド市原・千葉のコーチに就任。
2026年、ファジアーノ岡山FCのコーチに就任。


== 所属クラブ ==
1994年 - 1996年 鹿島アントラーズジュニアユース
1997年 - 1999年 鹿島アントラーズユース（茨城県立神栖高等学校）
2000年 - 2003年 明治大学体育会サッカー部
2004年 - 2010年 水戸ホーリーホック
2011年 - 2013年 栃木SC


== 個人成績 ==

Jリーグ初出場 - 2004年6月19日 J2 第18節 対湘南ベルマーレ戦（平塚競技場）
Jリーグ初得点 - 2005年5月27日 J2 第14節 対横浜FC戦（笠松運動公園陸上競技場）


== 指導歴 ==
2014年 - 2016年 東京国際大学体育会サッカー部 コーチ
2017年 - 2021年 モンテディオ山形 コーチ
2022年 - 2025年 ジェフユナイテッド市原・千葉 コーチ
2026年 - ファジアーノ岡山FC コーチ


== 出演 ==


=== ラジオ ===
SC_FM『マサラジ』(RADIO BERRY 2011年3月1日～2013年12月31日終了、火曜日20：55～21：00、2013年2月5日から火曜日20：00～20：30)


== 脚注 ==


== 関連項目 ==
茨城県出身の人物一覧
水戸ホーリーホックの選手一覧
栃木SCの選手一覧


== 外部リンク ==
大和田真史 - Soccerway.com (英語)
大和田真史 - FootballDatabase.eu (英語)
大和田真史 - FBref.com (英語)
大和田真史 - Transfermarkt.comによる選手データ (英語)
大和田真史 - Transfermarkt.comによる指導者データ (英語)
大和田真史 - J.League Data Siteによる選手データ",,,
7639,芳賀 博信,Hironobu HAGA,pre2014_p1,芳賀博信,unclear,U16,negation_or_candidate_language_present,"芳賀 博信（はが ひろのぶ、1982年12月21日 - ）は、元サッカー選手。ポジションはMF。


== 来歴 ==
仙台育英高では10番を背負い、国民体育大会や高校選手権にも出場した。また元U-16日本代表候補の経験がある。その後、Jリーグクラブには行けず仙台大学に進学したが、プロ選手の夢を諦めきれずに大学を中退。セレクションを経て、2003年にジェフ千葉の下部組織ジェフユナイテッド市原アマチュアに加入する。
アマチュア時代は、昼間はとび職をしながら夕方に練習をし、週末に地域リーグを戦った。また天皇杯千葉県代表の立役者ともなった。そして2004年の夏ごろから、当時の監督イビチャ・オシムに認められトップチームの練習に参加。9月にアマチュアからのトップチーム昇格第1号となった。
トップチーム昇格後、11月の神戸戦でJ1初出場を果たした。また、この試合でアシストも記録。2005年からは正式にジェフのトップチームとプロ契約。当時のジェフは中盤の選手の層が厚かったこともあり公式戦出場は無かったが、1年間通してオシムの指導を受けることが出来たのは、大きな財産になった。
その後、サテライトリーグで対戦した際の芳賀のプレーに注目したコンサドーレ札幌からのオファーがあり、2006年に完全移籍した。
札幌では右WB、ボランチとしてレギュラーに定着し、2007年はキャプテンに就任。『今年1年、チームと共に成長していけるように頑張ります。キャプテンとしてチームを牽引し､絶対にJ1昇格を達成したいと思います』とのコメントを発表した。
2007年6月27日第24節のザスパ草津戦においてJ初ゴールとなるミドルシュートを決めた。
2012年シーズンを最後に現役を引退し、札幌のアドバイザリースタッフに就任した。
2024年10月1日 札幌のネットワーク・サービス株式会社(ECFグループ)のスーパーバイザーとして就任。
事業内容は主にビルメンテナンス関連


== 所属クラブ ==
1998年 - 2000年 仙台育英学園高等学校
2001年 - 2002年 仙台大学 (中退)
2003年4月 - 2004年9月 ジェフユナイテッド市原アマチュア
2004年9月 - 2005年 ジェフユナイテッド市原/ジェフユナイテッド市原・千葉
2006年 - 2012年 コンサドーレ札幌


== 個人成績 ==

Jリーグ初出場 - 2004年11月20日 J1 2nd第13節 ヴィッセル神戸戦（市原緑地運動公園臨海競技場）
Jリーグ初得点 - 2007年6月27日 J2 第24節 ザスパ草津戦（札幌ドーム）


== 脚注 ==


== 関連項目 ==
ジェフユナイテッド市原・千葉の選手一覧
北海道コンサドーレ札幌の選手一覧


== 外部リンク ==
芳賀博信 - Soccerway.com (英語)
芳賀博信 - FootballDatabase.eu (英語)
芳賀博信 - WorldFootball.net (英語)
芳賀博信 - FBref.com (英語)
芳賀博信 - Transfermarkt.comによる選手データ (英語)
芳賀博信 - J.League Data Siteによる選手データ
コンサドーレ札幌公式サイトのプロフィール - ウェイバックマシン（2012年5月9日アーカイブ分）",yes,A|U16,
6378,本橋 卓巳,Takumi MOTOHASHI,pre2014_p1,本橋卓巳,yes,U15|U16|U20,negation_or_candidate_language_present,"1997年 U-15日本代表
1998年 U-16日本代表
2001年 U-20日本代表候補",,U15|U16,
6096,三田 光,Hikaru MITA,pre2014_p1,三田光,yes,U23|other,negation_or_candidate_language_present,"三田 光（みた ひかる、1981年8月1日 - ）は、東京都杉並区出身（世田谷区育ち）の元プロサッカー選手。ポジションはディフェンダー（センターバック、サイドバック）及びミッドフィールダー（ボランチ）。


== 来歴 ==
兄の影響で幼稚園からサッカーを始め、小・中学校時代は読売ユースでプレーしていた。
1997年に國學院久我山高校へ進学。1期上に笠木新、1期下に関光博及び津田和樹。3年生時に東京都選抜として国体に出場した。
2000年からは國學院大學に通いつつ、アマチュア契約で練習生としてFC東京に加入。ボランチを志望していたが長身とフィード力からDFとしても構想された。左サイドバックでの練習を重ね、MF佐藤由紀彦と共にクロスを磨いた。
入団テストを経て、2002年よりアルビレックス新潟に移籍（大学は休学）。同年開幕戦より先発出場を続け、5月にはトゥーロン国際大会に臨むU-21日本代表に抜擢された。さらにアジア競技大会でも全試合に出場。2003年は新潟での出場時間を伸ばし、J2優勝及びJ1昇格に貢献した。
2005年にはベガルタ仙台に1年間期限付き移籍。同年第4節札幌戦でJ2初得点を記録した。2006年、新潟に復帰。主に右サイドバックをこなし、鋭いクロスを供給し続けた。同年第12節清水戦でJ1初得点。2007年限りで退団。
2008年に湘南ベルマーレへ移籍するも、1年で戦力外通告を受ける。
2009年より徳島ヴォルティスに移籍。左右のサイドバック、センターバックと複数のポジションに配されたが、安定したプレーでチームを支えた。2010年限りで契約満了。
2011年からはFC岐阜に完全移籍。2012年をもって契約満了となり、同シーズン限りで現役を引退。2013年からは岐阜の下部組織でコーチを務める。2016年に日本サッカー協会公認A級ジェネラルコーチライセンスを取得し、同年8月よりトップチームコーチに就任。


== 所属クラブ ==
ユース経歴
宝陽幼稚園サッカー部
武蔵丘FC (世田谷区立武蔵丘小学校)
読売日本サッカークラブユースS (同上)
読売日本サッカークラブジュニアユース (世田谷区立烏山中学校)
1997年 - 1999年 國學院大學久我山高等学校
プロ経歴
2000年 - 2001年  FC東京
2002年 - 2007年  アルビレックス新潟
2005年  ベガルタ仙台 (期限付き移籍)
2008年  湘南ベルマーレ
2009年 - 2010年  徳島ヴォルティス
2011年 - 2012年  FC岐阜


== 個人成績 ==

2002年3月03日：J2初出場 - J2第1節 vs水戸ホーリーホック (ひたちなか)
2004年4月18日：J1初出場 - J1 1st第6節 vsジェフユナイテッド市原 (国立)
2005年3月26日：J2初得点 - J2第4節 vsコンサドーレ札幌 (札幌ド)
2006年5月06日：J1初得点 - J1第12節 vs清水エスパルス (新潟ス)
2009年5月05日：J2・100試合出場 - J2第13節 vsファジアーノ岡山FC (岡山)


== 代表・選抜歴 ==
1999年 東京都選抜 - 国民体育大会サッカー競技
2002年 U-21日本代表 - トゥーロン国際大会、第14回アジア競技大会
2003年 U-22日本代表 - アテネオリンピックアジア地区予選
2004年 U-23日本代表候補


== 指導歴 ==
2013年 - 2018年 FC岐阜
2013年 - 2014年 U-15 コーチ
2015年 U-15 監督
2016年1月 - 同年7月 アカデミーダイレクター兼U-18 監督
2016年8月 トップチームコーチ
2017年 - 2018 年 アカデミーダイレクター兼U-18 監督
2019年 - 2022年 ファジアーノ岡山
2019年 - 2021年 U-18 コーチ
2022年 U-12 リードコーチ
2023年 - FC町田ゼルビア アシスタントコーチ


== 脚注 ==


== 関連項目 ==
FC東京の選手一覧
アルビレックス新潟の選手一覧
ベガルタ仙台の選手一覧
湘南ベルマーレの選手一覧
徳島ヴォルティスの選手一覧
FC岐阜の選手一覧


== 外部リンク ==
三田光 - Soccerway.com (英語)
三田光 - FootballDatabase.eu (英語)
三田光 - WorldFootball.net (英語)
三田光 - FBref.com (英語)
三田光 - Transfermarkt.comによる選手データ (英語)
三田光 - J.League Data Siteによる選手データ
三田光 (profile.php?id=100002845622903) - Facebook
夢先生プロフィール (PDF)  - JFAこころのプロジェクト
プロフィール (2001年版) - ウェイバックマシン（2001年11月21日アーカイブ分） - FC東京
プロフィール (2007年版) - ウェイバックマシン（2007年11月29日アーカイブ分） - アルビレックス新潟
プロフィール (2008年版) - ウェイバックマシン（2008年12月22日アーカイブ分） - 湘南ベルマーレ
プロフィール (2010年版) - ウェイバックマシン（2010年12月25日アーカイブ分） - 徳島ヴォルティス
プロフィール (2012年版) - ウェイバックマシン（2012年12月28日アーカイブ分） - FC岐阜",,U23|other, [調整 2026-07-25] U-21（トゥーロン）はU-23五輪代表系列のため、SAP のカテゴリ語彙に合わせ U21→U23 に正規化。
6533,鈴木 良和,Yoshikazu SUZUKI,pre2014_p1,鈴木良和,yes,U15|U16|U17,negation_or_candidate_language_present,"1997年U-15日本代表候補
1998年U-16日本代表（AFC U-17選手権代表）",,U16,
5240,茂原 岳人,Takehito SHIGEHARA,pre2014_p1,茂原岳人,yes,other,negation_or_candidate_language_present,"2003年 U-22日本代表
2008年 日本代表候補",,,
6089,小森田 友明,Tomoaki KOMORIDA,pre2014_p1,小森田友明,yes,U19|U20|other,negation_or_candidate_language_present,"U-19日本代表候補
U-20日本代表
U-21日本代表候補",,U20,
6665,尾亦 弘友希,Hiroyuki OMATA,pre2014_p1,尾亦弘友希,yes,U18|U19|U20,negation_or_candidate_language_present,"2001年 U-18日本代表候補
2002年 U-19日本代表 - Nokia debitel Cup、SBSカップ、AFCユース選手権カタール大会
2003年 U-20日本代表",,U19|U20,
6245,根占 真伍,Shingo NEJIME,pre2014_p1,根占真伍,yes,U15|U16|U17|U18,negation_or_candidate_language_present,"1999年 U-15日本代表
2000年 U-16日本代表 - AFC U-17選手権2000
2001年
U-17日本代表 - 2001 FIFA U-17世界選手権
U-18日本代表候補",,U15|U16|U17,
2950,村山 祐介,Yusuke MURAYAMA,pre2014_p1,村山祐介,yes,U18|university,negation_or_candidate_language_present,"1999年 U-18日本代表候補
2002年 全日本大学選抜
2003年 ユニバーシアード日本代表",,university,
