source_player_id,name_ja,name_en,tier,wikipedia_title,any_national_team_selection,national_team_categories,national_team_reason,wikipedia_national_team_context,reviewed_any_national_team_selection,reviewed_categories,reviewer_note
2264,服部 公太,Kota HATTORI,pre2014_p2,服部公太,yes,U18|U19|U20|other,negation_or_candidate_language_present,"U-18日本代表候補
U-19日本代表
U-20日本代表
U-21日本代表候補
U-22日本代表候補",,,
2619,高田 保則,Yasunori TAKADA,pre2014_p2,高田保則,yes,U20|other,negation_or_candidate_language_present,"1998年U-21日本代表候補
1999年U-20日本代表 (FIFAワールドユース選手権準優勝)",,,
1659,三浦 淳宏,Atsuhiro MIURA,pre2014_p2,三浦淳宏,yes,A,negation_or_candidate_language_present,"1997年、ワールドカップフランス大会アジア地区最終予選の壮行試合を兼ねたJOMO CUP「日本代表」対「Jリーグ外国籍選抜」に出場し日本代表デビューするも、最終予選の代表メンバーからは漏れ、公式戦出場は持ち越しとなった。
1999年6月6日のキリンカップ・ペルー戦で国際Aマッチ初出場。6月29日に行われたコパ・アメリカ1999のペルー戦で直接フリーキックを決めて代表初ゴールをあげた。
2000年には、楢﨑正剛、森岡隆三と共にオーバーエイジとしてシドニーオリンピックに出場し、1968年メキシコシティーオリンピック以来32年ぶりに決勝トーナメントに貢献。日本が優勝したAFCアジアカップ2000では大会途中に腰痛捻挫で帰国。しかし主戦場としていた左サイドは代表一の人材過多なポジションで、トップ下からコンバートされた中村や小野がレギュラーを務め、スーパーサブにはJリーグで大ブレイク中に帰化した三都主が加わったこともあり、2002年日韓ワールドカップのメンバーには選ばれなかった。
2003年よりジーコジャパンに選出され、三都主アレサンドロのサブとして4バックの左SB（サイドバック）でプレーした。2004年アジアカップでは控えながら、ベテランとして藤田俊哉と共に献身的にチームを盛り上げ代表チームを結束させ、優勝に貢献した。
ドイツW杯・アジア予選でもサブ組ながらチームを盛り上げ、裏からジーコジャパンを献身的に支え続けた。特にチームの雰囲気が悪い中で迎えたアジア最終予選での大一番バーレーン戦前の合宿中に行われた選手間ミーティング（通称「アブダビの夜」）で、「みんな本当にW杯へ行きたいのか。おれは年齢的にも最後だし出たい」と熱く語りチームを結束させたとされる。その結果ワールドカップ出場権獲得につなげたが、ドイツW杯本大会の日本代表メンバーには選出されなかった。結果的に2005年5月22日のキリンカップ・ペルー戦が最後の国際Aマッチ出場となった。",,,
2249,佐藤 悠介,Yusuke SATO,pre2014_p2,佐藤悠介,unclear,U18,negation_or_candidate_language_present,1995年　U-18日本代表候補,,,
2469,柳沢 将之,Masayuki YANAGISAWA,pre2014_p2,柳沢将之,no,,negation_or_candidate_language_present,2001年 - 法政大学 ユニバーシアード（サッカー競技）北京大会日本代表候補,,,
2117,櫛野 亮,Ryo KUSHINO,pre2014_p2,櫛野亮,yes,U18|U19|U20,negation_or_candidate_language_present,"1997年 U-18日本代表
1998年 U-19日本代表
1999年 U-20日本代表候補",,,
1630,桑原 裕義,Hiroyoshi KUWABARA,pre2014_p2,桑原裕義,no,,negation_or_candidate_language_present,"桑原 裕義（くわばら ひろよし、1971年10月2日 - ）は、広島県広島市出身の元サッカー選手。ポジションはMF（守備的MF）。


== 来歴 ==
広島県立広島工業高等学校出身。2つ先輩に棚田伸(元柏レイソル)、同級生に梶山洋一(元ヴィッセル神戸)、1つ後輩に皆本勝弘(元セレッソ大阪)。皆本とはのちにサンフレッチェ広島で共にプレー経験がある。
大阪体育大学2年の時に1991年ユニバーシアード・シェフィールド大会代表に選出、1993年バッファロー大会代表に選出され、バルセロナオリンピックアジア予選候補に選出される。この際にサンフレッチェ広島のチームドクターがスタッフとして入っており、そのドクターから広島入団へとリクルートされる。
1994年にサンフレッチェ広島に入団。プロ同期入団は、大西貴・下田崇。1年目は潰瘍のため出場機会がなかったものの、1995年にはビム・ヤンセン監督に抜擢され開幕戦から出場しDFやMFのポジジョンは全てこなした。その後は特にエディ・トムソン監督に重用され、180cmの高さを生かしたフィジカルの強さと運動量で、中盤からリベロまでこなすユーティリティープレイヤーとして活躍した。しかしトムソンが勇退した2001年以降になると森崎和幸の成長もあり、サブに回ることが多くなり出場機会が減って来ていた。
反町康治監督から誘われたこともあり出場機会を求め、2004年からはアルビレックス新潟に移籍する。広い視野と高い洞察力で相手の攻撃の芽を摘み、守備に長けたボランチとして活躍した。しかし新潟においても、若返りを図るというチーム方針に対し、年齢がネックとなり2005年限りで退団する。この際、J2チームからオファーが届き実際話を進めていたものの、年齢がネックとなりそのチームとの移籍話はなくなってしまった。そこへ当時のチームメイトだった木寺浩一から千疋美徳ニューウェーブ北九州監督を紹介される。
2006年より当時九州サッカーリーグのニューウェーブ北九州（ギラヴァンツ北九州の前身）に、プロ契約選手の一人（一説には初のプロ契約選手）として加入する。主力ボランチとして活躍し、2007年JFL昇格、2009年J2昇格に貢献した。なお2006年10月に当時中国サッカーリーグ所属のファジアーノ岡山FCにレンタル移籍し、全国地域サッカーリーグ決勝大会では主力として活躍している。
2010年よりJ2に昇格したギラヴァンツ北九州においても、4-4-2のセンターハーフを佐野裕哉とともにつとめ、チームに欠かせない心臓として活躍した。翌2011年シーズンも守備の要として33試合に出場した。しかし40歳と高齢に達したこともあってこの年をもって契約を解除され退団。
トライアウトにも参加したが現役生活を終え、2012年よりクラブのアンバサダーに就任。地域での支持拡大に向け活動していたが、1年で退任した。
2013年、久保竜彦、大木勉と共に広島県社会人サッカーリーグ1部所属の廿日市FCで現役復帰した。同年限りで2度目の引退。
引退後は広島市内で鉄なべ餃子店の店長をしている。


== エピソード ==
244試合目の初ゴール
2005年8月20日のJ1リーグ第19節ガンバ大阪戦で先制点となる豪快なミドルシュートを決める。MFというポジションにも関わらず、実はJ1出場244試合目にして初めてのゴール。これはGKを除いた選手の最遅初得点記録だった（2014年に阿部翔平（247試合）が更新）。
40歳でのJリーグ出場
40歳以上でのJリーグ出場は、(当時の現役Jリーガーの中では)三浦知良・中山雅史に次いで3番目の記録であった（藤田俊哉もそうだが桑原のほうが2日分年齢が上）。


== 個人成績 ==

2006年 全国社会人サッカー決勝大会　4試合0得点 (北九州)
2006年 全国地域リーグ決勝大会　5試合0得点 (岡山)
Jリーグ初出場　1995年3月18日 対セレッソ大阪戦 (広島ビッグアーチ)
Jリーグ初得点　2005年8月20日 対ガンバ大阪戦 (新潟スタジアム)
九州リーグ　最優秀選手 (2007年)


== 脚注 ==


== 出典 ==
  


== 参考資料 ==
『桑原裕義アンバサダー 退任のお知らせ』（プレスリリース）ギラヴァンツ北九州、2012年11月19日。http://www.giravanz.jp/news/2012/11/post-116.html。2013年2月4日閲覧。 

Jリーグ出場記録
2002年、2003年、2004年、2005年、2010年、2011年


== 関連項目 ==
広島県出身の人物一覧
大阪体育大学の人物一覧
サンフレッチェ広島F.Cの選手一覧
アルビレックス新潟の選手一覧
ギラヴァンツ北九州の選手一覧
ファジアーノ岡山FCの選手一覧


== 外部リンク ==
桑原裕義 - Soccerway.com (英語)
桑原裕義 - FootballDatabase.eu (英語)
桑原裕義 - WorldFootball.net (英語)
桑原裕義 - FBref.com (英語)
桑原裕義 - Transfermarkt.comによる選手データ (英語)
桑原裕義 - J.League Data Siteによる選手データ",,,
17,佐藤 洋平,Yohei SATO,pre2014_p2,佐藤洋平,no,,negation_or_candidate_language_present,2001年 日本代表候補,,,
1629,大野 敏隆,Harutaka ONO,pre2014_p2,大野敏隆,yes,U19|U20|U23,negation_or_candidate_language_present,"U-19日本代表
日本高校選抜
1996年 スイス・ベリンツォーナ国際ユースサッカー大会 (優勝)
U-20日本代表
1997年 FIFAワールドユース選手権マレーシア大会 (ベスト8)
U-23日本代表候補
日本代表候補",,,
2124,吉原 慎也,Shinya YOSHIHARA,pre2014_p2,吉原慎也,unclear,U18,negation_or_candidate_language_present,"吉原 慎也（よしはら しんや、1978年4月19日 - ）は、茨城県出身の元プロサッカー選手、事業家。現役時のポジションはゴールキーパー。妻は囲碁女流棋士の吉原由香里。


== 来歴 ==
9歳でサッカーを始める。小学生時代は日立市内の少年サッカークラブに、中学生時代は通学先のサッカー部に在籍した。
1994年、県立日立工業高校に進学。1年次よりレギュラーとして試合に出場した。1996年にはU-18日本代表候補に選出される。
高校卒業後、横浜マリノスに入団したが日本代表の守護神でもある川口能活の壁に阻まれ出場機会に恵まれず、1999年、J2のアルビレックス新潟に期限付き移籍した。3月14日の川崎フロンターレとの開幕戦でJリーグ公式戦に初出場すると、ビックセーブを連発し、J2参加元年のアルビレックス新潟の開幕7連勝の立役者となる。新潟には2000年までの2シーズン在籍し、野澤洋輔、木寺浩一という実力者がいたがリーグ戦44試合に出場した。
2001年にマリノスに復帰したが、シーズン途中の8月に川崎フロンターレに完全移籍した。当初は浦上壮史の控えだったが2002年第43節よりレギュラーとして試合に出場するようになり、2003年シーズンは、リーグ戦全試合にあたる44試合に出場した。2004年には41試合に出場、そのうち第8節の横浜FC戦から第14節の湘南ベルマーレ戦までの計7試合で連続完封勝利を経験するなど。川崎のJ2優勝と、5年ぶりのJ1復帰に貢献した。
2005年シーズンは昨シーズンからの右足首の怪我のため、開幕節から第3節までは下川誠吾の控えとしてベンチ入りし 第4節の東京ヴェルディ1969戦から出場したが、第13節のジュビロ磐田戦からは再び控えとしてベンチに入るようになった。
2006年シーズンは序盤こそ相澤貴志の控えとして過ごすが、9月17日に行われた第23節ジュビロ磐田戦・9月23日の第24節ガンバ大阪戦の2試合でチームは8失点し共に敗北。第25節のサンフレッチェ広島戦より再びレギュラーとして出場するようになった。6勝2分2敗の記録を残した。川崎はJ1リーグで2位となりアジアチャンピオンズリーグへの出場権を獲得した。
2007年、東京ヴェルディ1969へ期限付き移籍した。
高木義成の控えとしてスタートしたが、4月29日の第12節水戸ホーリーホック戦より試合出場の機会を得ると、翌試合で7連敗を阻止し、不調だったチームの守備の立て直しに貢献した が、7月1日の第25節サガン鳥栖戦にて試合中に負傷退場、左膝後十字靭帯損傷で全治9週間と診断された。9月開催の第42節より控えとして復帰。この年、ヴェルディはJ2リーグで2位になり3年ぶりのJ1復帰を果たした。シーズン終了後、川崎に帰還した。2008年は前年に名古屋グランパスから移籍した川島永嗣が正GKとして君臨しており、試合出場はJリーグヤマザキナビスコカップ予選リーグ第6節のジェフ千葉戦の1試合のみであった。
2009年、ジュビロ磐田へ期限付き移籍した。当初は日本代表でもある川口能活・八田直樹に次ぐ第3GKとみなされていたが、第27節のFC東京戦よりベンチ入りするようになり、10月30日開催の天皇杯3回戦の鹿屋体育大学戦では八田の負傷により延長戦から途中出場し、勝利に貢献。さらに八田が新型インフルエンザで欠場した最終節のヴィッセル神戸戦にも出場した。
2010年に柏レイソルに完全移籍 。菅野孝憲の控えとして過ごしていたがグロインペイン症候群になり、自ら契約破棄をチームに申し入れ、南アフリカW杯終了後の7月14日に現役引退を表明した。


=== 引退後 ===
引退後は、トヨタ関連企業の執行役員を経て、現在はグローバル エージェンシー コーポレーション株式会社の代表取締役として建設業を営んでいる。


== エピソード ==
朝鮮語会話を得意とし、吉原本人は鄭大世とはいつも朝鮮語で会話をしていたと、自身のブログで明らかにしている。吉原の「恩恵を受けた」韓国人選手もおり、例えば李根鎬はジュビロ磐田在籍中、吉原のおかげでチームに速く馴染む事ができたとインタビューで語っている。また柏レイソル在籍中、入院のため試合に帯同できなくなった朴東赫の通訳の代理を務めたこともある。


== 所属クラブ ==
ユース経歴

日立市立日高小学校
日立市立駒王中学校
茨城県立日立工業高等学校
プロ経歴

1997年 - 2001年 横浜マリノス/横浜F・マリノス
1999年 - 2000年 アルビレックス新潟（レンタル移籍）
2001年 - 2009年 川崎フロンターレ
2007年 東京ヴェルディ1969（レンタル移籍）
2009年 ジュビロ磐田（レンタル移籍）
2010年 柏レイソル　


== 個人成績 ==


== タイトル ==


=== クラブ ===
川崎フロンターレ
J2リーグ：1回（2004年）


== 代表・選抜歴 ==
1994年、関東ユース選抜
1995年、関東ユース選抜、東日本代表 東西対抗戦出場、茨城県国体選抜
1996年、U-18日本代表候補、茨城県国体選抜


== 脚注 ==


== 出典 ==


== 関連項目 ==
茨城県出身の人物一覧
横浜F・マリノスの選手一覧
アルビレックス新潟の選手一覧
川崎フロンターレの選手一覧
東京ヴェルディ1969の選手一覧
ジュビロ磐田の選手一覧
柏レイソルの選手一覧


== 外部リンク ==
吉原慎也 - Soccerway.com (英語)
吉原慎也 - FootballDatabase.eu (英語)
吉原慎也 - WorldFootball.net (英語)
吉原慎也 - FBref.com (英語)
吉原慎也 - Transfermarkt.comによる選手データ (英語)
吉原慎也 - J.League Data Siteによる選手データ
川崎フロンターレ『ピックアッププレイヤー』
川崎フロンターレ OBドリームマッチ 2016",,,
